№ п/п,Наименование параметра,KKS-код параметра,Наименование сигнала,KKS-код сигнала,Тип датчика,Параметры питания датчика,Участие в задачах,Примечание
117,Заслонка регулирующая котла ст.№5,F5HHG20AA801,Не закрыто,F5HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
118,Заслонка регулирующая котла ст.№5,F5HHG20AA801,Неисправность,F5HHG20AA801XC03,потенциальный контакт,=24В,ПС,
119,Заслонка регулирующая котла ст.№5,F5HHG20AA801,Готовность,F5HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
120,Затвор продувной свечи котла ст.№5,F5HHG20AA201,Не открыто,F5HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
121,Затвор продувной свечи котла ст.№5,F5HHG20AA201,Не закрыто,F5HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
122,Заслонка регулирующая котла ст.№6,F6HHG20AA801,Не открыто,F6HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
123,Заслонка регулирующая котла ст.№6,F6HHG20AA801,Не закрыто,F6HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
124,Заслонка регулирующая котла ст.№6,F6HHG20AA801,Неисправность,F6HHG20AA801XC03,потенциальный контакт,=24В,ПС,
125,Заслонка регулирующая котла ст.№6,F6HHG20AA801,Готовность,F6HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
126,Затвор продувной свечи котла ст.№6,F6HHG20AA201,Не открыто,F6HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
127,Затвор продувной свечи котла ст.№6,F6HHG20AA201,Не закрыто,F6HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
128,Заслонка регулирующая котла ст.№7,F7HHG20AA801,Не открыто,F7HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
129,Заслонка регулирующая котла ст.№7,F7HHG20AA801,Не закрыто,F7HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
130,Заслонка регулирующая котла ст.№7,F7HHG20AA801,Неисправность,F7HHG20AA801XC03,потенциальный контакт,=24В,ПС,
131,Заслонка регулирующая котла ст.№7,F7HHG20AA801,Готовность,F7HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
132,Затвор продувной свечи котла ст.№7,F7HHG20AA201,Не открыто,F7HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
133,Затвор продувной свечи котла ст.№7,F7HHG20AA201,Не закрыто,F7HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
134,Заслонка регулирующая котла ст.№8,F8HHG20AA801,Не открыто,F8HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
135,Заслонка регулирующая котла ст.№8,F8HHG20AA801,Не закрыто,F8HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
136,Заслонка регулирующая котла ст.№8,F8HHG20AA801,Неисправность,F8HHG20AA801XC03,потенциальный контакт,=24В,ПС,
137,Заслонка регулирующая котла ст.№8,F8HHG20AA801,Готовность,F8HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
138,Затвор продувной свечи котла ст.№8,F8HHG20AA201,Не открыто,F8HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
139,Затвор продувной свечи котла ст.№8,F8HHG20AA201,Не закрыто,F8HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
140,Задвижка 2-Г,E1EKA01AA001,Открыть,E1EKA01AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
141,Задвижка 2-Г,E1EKA01AA001,Закрыть,E1EKA01AA001YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ",
142,Задвижка 2-Г,E1EKA01AA001,Стоп,E1EKA01AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
143,Задвижка 3-Г,E1EKG11AA001,Открыть,E1EKG11AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
144,Задвижка 3-Г,E1EKG11AA001,Закрыть,E1EKG11AA001YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ",
145,Задвижка 3-Г,E1EKG11AA001,Стоп,E1EKG11AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
146,Дисковый затвор ГК-1,E1EKG12AA001,Открыть,E1EKG12AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
147,Дисковый затвор ГК-1,E1EKG12AA001,Закрыть,E1EKG12AA001YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ",
148,Дисковый затвор ГК-1,E1EKG12AA001,Стоп,E1EKG12AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
