,№ п/п,KKS-код сигнала,Наименование параметра (механизма),Наименование сигнала,Участие в задачах,Примечание
188,203,превышение момента,Регулирующий клапан РДТА-2 на,N1NDB22AA801,ДУ,
189,204,Неисправность,Регулирующий клапан РДТА-2 на,N1NDB22AA801,ДУ,
190,205,Готовность,Регулирующий клапан РДТА-2 на,N1NDB22AA801,ДУ,
191,206,Автоматический выключатель,Регулирующий клапан РДТА-2 на,N1NDB22AA801,ПС,
192,207,Не открыто,Затвор дисковый 3ТА-0 помимо,N1NDB23AA001,ДУ,
193,208,Не закрыто,Затвор дисковый 3ТА-0 помимо,N1NDB23AA001,ДУ,
194,209,превышение момента на открытие,Затвор дисковый 3ТА-0 помимо,N1NDB23AA001,ДУ,
195,210,превышение момента на закрытие,Затвор дисковый 3ТА-0 помимо,N1NDB23AA001,ДУ,
196,211,"сигнал ""Открыть"" от УКП",Затвор дисковый 3ТА-0 помимо,N1NDB23AA001,ДУ,
197,212,"сигнал ""Закрыть"" от УКП",Затвор дисковый 3ТА-0 помимо,N1NDB23AA001,ДУ,
198,213,"сигнал ""Стоп"" от УКП",Затвор дисковый 3ТА-0 помимо,N1NDB23AA001,ДУ,
199,214,Автоматический выключатель,Затвор дисковый 3ТА-0 помимо,N1NDB23AA001,ПС,
200,215,N1NDA10AA001,Затвор дисковый секционирующий Т-,теплообменников,ДУ,
201,216,N1NDA10AA001,Затвор дисковый секционирующий Т-,теплообменников,ДУ,
202,217,N1NDA10AA001,Затвор дисковый секционирующий Т-,теплообменников,ДУ,
203,218,N1NDA10AA001,Затвор дисковый секционирующий Т-,теплообменников,ДУ,
204,219,N1NDA10AA001,Затвор дисковый секционирующий Т-,теплообменников,ДУ,
205,220,N1NDA10AA001,Затвор дисковый секционирующий Т-,теплообменников,ДУ,
206,221,N1NDA10AA001,Затвор дисковый секционирующий Т-,теплообменников,ДУ,
207,222,N1NDA10AA001,Затвор дисковый секционирующий Т-,теплообменников,ПС,
208,223,N1NDA01AA001XB51,"Затвор дисковый Т-29 тепловывод ""A""",Не открыто,ДУ,
209,224,N1NDA01AA001XB52,"Затвор дисковый Т-29 тепловывод ""A""",Не закрыто,ДУ,
210,225,N1NDA01AA001XB05,"Затвор дисковый Т-29 тепловывод ""A""",превышение момента на открытие,ДУ,
211,226,N1NDA01AA001XB06,"Затвор дисковый Т-29 тепловывод ""A""",превышение момента на закрытие,ДУ,
212,227,N1NDA01AA001XL01,"Затвор дисковый Т-29 тепловывод ""A""",Дистанционный режим работы,ДУ,
213,230,отключен,"Затвор дисковый Т-29 тепловывод ""A""",Автоматический выключатель,ПС,
214,231,N1NDA02AA001XB51,"Затвор дисковый Т-30 тепловывод ""B""",Не открыто,ДУ,
215,232,N1NDA02AA001XB52,"Затвор дисковый Т-30 тепловывод ""B""",Не закрыто,ДУ,
216,233,N1NDA02AA001XB05,"Затвор дисковый Т-30 тепловывод ""B""",превышение момента на открытие,ДУ,
217,234,N1NDA02AA001XB06,"Затвор дисковый Т-30 тепловывод ""B""",превышение момента на закрытие,ДУ,
218,235,N1NDA02AA001XL01,"Затвор дисковый Т-30 тепловывод ""B""",Дистанционный режим работы,ДУ,
219,238,отключен,"Затвор дисковый Т-30 тепловывод ""B""",Автоматический выключатель,ПС,
220,239,N1NDA03AA001XB51,"Затвор дисковый Т-31 тепловывод ""C""",Не открыто,ДУ,
221,240,N1NDA03AA001XB52,"Затвор дисковый Т-31 тепловывод ""C""",Не закрыто,ДУ,
222,241,N1NDA03AA001XB05,"Затвор дисковый Т-31 тепловывод ""C""",превышение момента на открытие,ДУ,
223,242,N1NDA03AA001XB06,"Затвор дисковый Т-31 тепловывод ""C""",превышение момента на закрытие,ДУ,
224,243,N1NDA03AA001XL01,"Затвор дисковый Т-31 тепловывод ""C""",Дистанционный режим работы,ДУ,
225,246,отключен,"Затвор дисковый Т-31 тепловывод ""C""",Автоматический выключатель,ПС,
